SSR002;CAPR CALETA TUBUL
SSR139;LOS NOTROS
SSR140;UNION AGUILA NIEVE
SSR138;LOS NARANJOS, LOS BOLDOS, MANIL BAJO
SSR146;TRUPAN
SSR149;LA AGUADA
SSR148;CERRO PARRA
SSR147;CAMBRALES
SSR141;ALTO RINCONADA BAJO
SSR145;COOPERATIVA POLCURA
SSR152;RERE
SSR150;OBRAS DE RIO CLARO
SSR151;PUENTE TAPIHUE-MISQUE
SSR167;CALETA CHOME
SSR168;QUILACOYA
SSR155;PUENTE PERALES
SSR159;CHAIMAVIDA SOTO
SSR158;CAMBRALES NORTE
SSR163;ANDALIÉN
SSR157;CANCHILLAS
SSR165;ISLA SANTA MARIA PUERTO SUR
SSR160;JUAN RIQUELME GARAY
SSR156;MONTERREY
SSR164;ISLA SANTA MARIA PUERTO NORTE
SSR166;COPIULEMU
SSR162;LOTATO
SSR161;PUENTE 5
SSR153;RIO CLARO
SSR154;TOMECO
SSR171;HUALLEREHUE
SSR170;UNIHUE
SSR169;TALCAMAVIDA
SSR179;SAUCE DE CARRIZAL
SSR172;LA GENERALA
SSR173;SONADORA DE PODUCO ALTO
SSR176;DIÑICO
SSR175;EL COIGUE SAN JORGE
SSR174;NUEVA ESPERANZA
SSR181;COLIUMO
SSR180;CALETA TUMBES
SSR178;ADELANTO PASO LARGO
SSR177;AGUAS CLARAS DE COLICO ALTO
SSR188;LAS CAMELIAS
SSR183;QUIEBRAFRENOS
SSR187;EL POLIGONO
SSR184;SANTA ROSA NEGRETE
SSR182;SANTA LAURA DE TUCUMAN
SSR186;SANTA ELENA Y VILLA FRANCISCO
SSR185;AGUAS CRISTALINAS
SSR189;AGUA DE LOS CAMPOS RAFAEL
